price,rating,Dual_Sim,4G,5G,Vo5G,NFC,IR_Blaster,Core_Count,Clock_Speed_GHz,Performance_Tier,RAM Size GB,Storage Size GB,RAM Tier,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Resolution_Height,Refresh_Rate,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,memory_card_size,os_version,brand_Asus,brand_Blackview,brand_Blackzone,brand_Blu,brand_Cat,brand_Cola,brand_Dizo,brand_Doogee,brand_Duoqin,brand_Eunity,brand_Gionee,brand_Google,brand_Honor,brand_Huawei,brand_Ikall,brand_Infinix,brand_Iqoo,brand_Itel,brand_Jio,brand_Karbonn,brand_Lava,brand_Leeco,brand_Leitz,brand_Lenovo,brand_Letv,brand_Lg,brand_Lyf,brand_Micromax,brand_Motorola,brand_Motorola Edge,brand_Namotel,brand_Nokia,brand_Nothing,brand_Nubia,brand_Oneplus,brand_Oppo,brand_Oukitel,brand_Poco,brand_Realme,brand_Realme Narzo,brand_Redmi,brand_Royole,brand_Samsung,brand_Sharp,brand_Sony,brand_Tcl,brand_Tecno,brand_Tesla,brand_Vertu,brand_Vivo,brand_Xiaomi,brand_Xtouch,brand_Zanco,brand_Zte,Processor_Brand_Dimensity,Processor_Brand_Exynos,Processor_Brand_Google Tensor,Processor_Brand_Helio,Processor_Brand_Kirin,Processor_Brand_Other,Processor_Brand_Snapdragon,Processor_Brand_Unisoc,os_name_EMUI,os_name_HarmonyOS,os_name_KAI OS,os_name_Pragati OS,os_name_RTOS,os_name_iOS,Notch_Type_Large Notch,Notch_Type_No Notch,Notch_Type_Punch Hole,Notch_Type_Small Notch,Notch_Type_Unknown,Notch_Type_Water Drop Notch
0,82.0,1,1,1,0,0,0,8.0,2.5,0,8.0,256.0,3,4500.0,60,6.4,1080.0,2400.0,90.0,50.0,3.0,16.0,1.0,0,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,83.0,1,1,0,0,0,0,8.0,2.4,0,8.0,128.0,3,4000.0,33,6.44,1080.0,2400.0,90.0,64.0,3.0,44.0,1.0,1,1024.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,89.0,1,1,1,0,1,0,8.0,2.4,4,8.0,128.0,3,5000.0,65,6.7,1440.0,3216.0,120.0,50.0,3.0,32.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,81.0,1,1,1,0,1,1,8.0,2.4,3,6.0,128.0,2,5000.0,67,6.67,1080.0,2400.0,120.0,108.0,3.0,16.0,1.0,0,1024.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,82.0,1,1,1,0,1,1,8.0,2.85,0,6.0,128.0,2,5080.0,67,6.6,1080.0,2460.0,144.0,64.0,3.0,16.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,82.0,1,1,1,0,0,0,8.0,2.4,0,12.0,256.0,4,4700.0,66,6.44,1080.0,2404.0,90.0,64.0,3.0,16.0,1.0,0,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,75.0,1,1,0,0,1,0,8.0,2.4,1,4.0,128.0,2,5000.0,10,6.5,720.0,1600.0,90.0,50.0,3.0,8.0,1.0,1,512.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,80.0,1,1,1,0,1,0,8.0,3.2,4,12.0,256.0,4,4500.0,120,6.78,1440.0,3200.0,120.0,50.0,1.0,32.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,83.0,1,1,1,0,1,0,6.0,3.22,0,6.0,128.0,2,3095.0,0,6.1,1170.0,2532.0,120.0,12.0,3.0,12.0,1.0,0,1024.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
0,76.0,1,1,1,0,0,0,8.0,2.4,0,6.0,128.0,2,5000.0,33,6.56,720.0,1600.0,90.0,48.0,2.0,8.0,1.0,1,1024.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
